id,pchembl_value,canonical_smiles,target_organism,source
CHEMBL1336298,4.98,C/C(Nc1cccc(F)c1)=C(/C#N)C(N)=O,Homo sapiens,chembl
CHEMBL1336927,4.24,Brc1ccc(-c2nn3c(-c4ccco4)nnc3s2)o1,Homo sapiens,chembl
CHEMBL1337045,5.28,O=Nc1c(O)n(Cc2cccc(C(F)(F)F)c2)c2ccccc12,Homo sapiens,chembl
CHEMBL1337188,4.54,COC(=O)c1ccccc1NC(=O)COc1ccccc1,Homo sapiens,chembl
CHEMBL1337299,4.55,NC(=O)c1c(NC(=O)Cc2cccs2)sc2c1CCC2,Homo sapiens,chembl
CHEMBL1337355,4.31,O=C(CCCn1c(=S)[nH]c2ccccc2c1=O)NCc1ccco1,Homo sapiens,chembl
CHEMBL1337775,4.86,Brc1ccc2nc3c(n2c1)CCCC3,Homo sapiens,chembl
CHEMBL1339933,6.4,CCN(CC)S(=O)(=O)c1ccc2[nH]c(COC(=O)c3[nH]nc4ccccc34)nc2c1,Homo sapiens,chembl
CHEMBL1342633,4.32,COc1cccc(NC(=O)CCCn2c(=O)[nH]c3ccccc3c2=O)c1,Homo sapiens,chembl
CHEMBL1343539,5.74,Cc1ccc(NC(=O)CCCCCC2NC(=O)NC2C)cc1,Homo sapiens,chembl
CHEMBL1343750,4.72,COc1cccc2c(O)c(C(=O)NCc3cccs3)cnc12,Homo sapiens,chembl
CHEMBL1344527,5.31,CC(Sc1ccc2ccccc2n1)C(=O)O,Homo sapiens,chembl
CHEMBL1345273,5.34,NC(=O)c1cc(Cc2ccccc2)sc1NC(=O)c1ccco1,Homo sapiens,chembl
CHEMBL1345738,4.55,COC(=O)c1cc(Br)c(=O)n(Cc2ccc(C(=O)O)cc2)c1,Homo sapiens,chembl
CHEMBL1345922,4.59,NC(=O)c1ccsc1NC(=O)C1CCCCC1,Homo sapiens,chembl
CHEMBL1347258,4.34,Cc1ccc(S(=O)(=O)NCCCCCC(=O)Nc2nccs2)cc1,Homo sapiens,chembl
